quantidadetotal,produto,ano,mes
1,3394,2008,11
1,1128,2008,11
1,3278,2008,11
10,2254,2008,11
35,2889,2008,11
5,2424,2008,11
1,736,2008,11
1,2458,2008,11
1,799,2008,11
1,2351,2008,11
1,4002,2008,11
1,1880,2008,11
13,3644,2008,11
1,2767,2008,11
1,733,2008,11
1,2268,2008,11
15,3147,2008,11
3,566,2008,11
2,303,2008,11
3,4158,2008,11
2,2044,2008,11
1,2714,2008,11
1,2560,2008,11
2,2957,2008,11
6,3834,2008,11
3,2228,2008,11
4,2427,2008,11
1,2471,2008,11
2,2781,2008,11
9,300,2008,11
1,970,2008,11
3,1125,2008,11
10,2921,2008,11
2,572,2008,11
1,4092,2008,11
1,578,2008,11
1,3284,2008,11
8,2547,2008,11
29,4775,2008,11
11,3574,2008,11
1,2325,2008,11
4,490,2008,11
2,689,2008,11
1,5116,2008,11
2,3233,2008,11
1,309,2008,11
4,4210,2008,11
2,4016,2008,11
2,2410,2008,11
1,3283,2008,11
1,2620,2008,11
1,1757,2008,11
1,692,2008,11
4,3061,2008,11
1,4074,2008,11
6,2397,2008,11
2,437,2008,11
6,3676,2008,11
1,2457,2008,11
8,3708,2008,11
1,1750,2008,11
1,2346,2008,11
1,5188,2008,11
1,3325,2008,11
1,4164,2008,11
10,548,2008,11
1,4079,2008,11
2,2931,2008,11
4,531,2008,11
2,2406,2008,11
4,3036,2008,11
3,1827,2008,11
1,3620,2008,11
4,568,2008,11
5,1822,2008,11
1,3404,2008,11
7,4145,2008,11
1,82,2008,11
4,4111,2008,11
1,1336,2008,11
3,1824,2008,11
3,1113,2008,11
1,1027,2008,11
3,1138,2008,11
1,3838,2008,11
2,1118,2008,11
1,290,2008,11
1,1481,2008,11
4,312,2008,11
1,1713,2008,11
2,2097,2008,11
13,1711,2008,11
2,1680,2008,11
2,2188,2008,11
1,4419,2008,11
1,4575,2008,11
1,489,2008,11
2,1850,2008,11
3,557,2008,11
4,89,2008,11
6,4776,2008,11
1,3830,2008,11
1,1762,2008,11
1,71,2008,11
1,1124,2008,11
1,3430,2008,11
1,3273,2008,11
3,3231,2008,11
2,1725,2008,11
1,724,2008,11
1,3398,2008,11
1,4463,2008,11
1,4117,2008,11
9,2051,2008,11
2,1771,2008,11
2,2823,2008,11
6,2818,2008,11
4,1116,2008,11
1,4578,2008,11
1,292,2008,11
2,4098,2008,11
3,2021,2008,11
5,580,2008,11
2,3045,2008,11
1,4148,2008,11
1,1774,2008,11
2,2271,2008,11
1,1404,2008,11
1,2927,2008,11
1,1553,2008,11
1,3272,2008,11
27,3702,2008,11
2,24,2008,11
4,491,2008,11
1,603,2008,11
1,2956,2008,11
1,2061,2008,11
1,2618,2008,11
1,690,2008,11
4,311,2008,11
2,3257,2008,11
3,1105,2008,11
1,1701,2008,11
1,3601,2008,11
1,1414,2008,11
1,4141,2008,11
1,1127,2008,11
1,106,2008,11
2,3042,2008,11
3,1761,2008,11
1,3013,2008,11
8,2697,2008,11
1,2150,2008,11
2,639,2008,11
1,3295,2008,11
1,4704,2008,11
1,440,2008,11
1,2429,2008,11
3,750,2008,11
3,668,2008,11
1,529,2008,11
1,4120,2008,11
1,1037,2008,11
8,302,2008,11
1,4059,2008,11
1,4726,2008,11
2,3053,2008,11
1,121,2008,11
2,3114,2008,11
1,4417,2008,11
4,848,2008,11
12,301,2008,11
87,3153,2008,11
1,3648,2008,11
1,2712,2008,11
1,713,2008,11
11,4777,2008,11
1,1543,2008,11
2,2623,2008,11
1,5199,2008,11
3,1825,2008,11
2,2929,2008,11
1,973,2008,11
1,2337,2008,11
3,2423,2008,11
6,3674,2008,11
6,3675,2008,11
1,297,2008,11
2,3149,2008,11
2,3327,2008,11
1,3647,2008,11
1,598,2008,11
1,2483,2008,11
1,2382,2008,11
1,1511,2008,11
1,4033,2008,11
3,268,2008,11
1,2924,2008,11
2,3670,2008,11
2,2345,2008,11
7,2016,2008,11
1,1668,2008,11
2,2470,2008,11
5,56,2008,11
1,4112,2008,11
2,533,2008,11
15,3707,2008,11
1,1040,2008,11
1,113,2008,11
2,4879,2008,11
5,556,2008,11
1,1103,2008,11
4,3296,2008,11
1,3586,2008,11
7,575,2008,11
1,4728,2008,11
3,28,2008,11
4,1858,2008,11
1,1079,2008,11
1,3151,2008,11
10,386,2008,11
1,2373,2008,11
2,3294,2008,11
1,1025,2008,11
3,2284,2008,11
1,2159,2008,11
1,281,2008,11
1,3012,2008,11
14,3836,2008,11
3,553,2008,11
1,709,2008,11
2,3328,2008,11
4,310,2008,11
1,2218,2008,11
1,1422,2008,11
1,735,2008,11
10,4212,2008,11
1,2017,2008,11
3,2888,2008,11
3,1135,2008,11
4,2270,2008,11
7,1759,2008,11
2,4295,2008,11
1,1104,2008,11
3,1030,2008,11
2,120,2008,11
2,1339,2008,11
2,2765,2008,11
1,2522,2008,11
3,3511,2008,11
2,579,2008,11
1,4063,2008,11
1,1246,2008,11
1,1864,2008,11
3,3859,2008,11
1,650,2008,11
4,3991,2008,11
11,3643,2008,11
1,1561,2008,11
1,1419,2008,11
1,1773,2008,11
4,483,2008,11
1,2632,2008,11
1,3368,2008,11
1,1331,2008,11
1,571,2008,11
1,2544,2008,11
2,4137,2008,11
4,1859,2008,11
24,3052,2008,11
6,1115,2008,11
4,4105,2008,11
1,117,2008,11
22,5166,2008,11
1,1978,2008,11
2,4115,2008,11
2,5168,2008,11
2,2633,2008,11
28,6,2008,11
2,1852,2008,11
2,1542,2008,11
2,2548,2008,11
1,2619,2008,11
3,2923,2008,11
3,1709,2008,11
4,4415,2008,11
1,2253,2008,11
30,2891,2008,11
1,4380,2008,11
18,3833,2008,11
1,2426,2008,11
2,840,2008,11
2,2636,2008,11
1,2452,2008,11
1,3254,2008,11
5,4032,2008,11
2,1029,2008,11
8,2396,2008,11
1,2160,2008,11
1,1140,2008,11
2,2790,2008,11
1,1931,2008,11
4,1136,2008,11
1,314,2008,11
1,4521,2008,11
1,1655,2008,11
8,149,2008,11
1,1556,2008,11
1,4012,2008,11
1,2622,2008,11
6,3698,2008,11
2,1338,2008,11
1,2442,2008,11
3,3256,2008,11
2,2788,2008,11
3,2751,2008,11
1,1148,2008,11
1,2478,2008,11
1,464,2008,11
8,2390,2008,11
3,972,2008,11
2,1134,2008,11
1,4220,2008,11
1,4702,2008,11
1,1928,2008,11
1,4713,2008,11
2,274,2008,11
8,385,2008,11
1,1015,2008,11
1,1102,2008,11
1,462,2008,11
1,4880,2008,11
1,3235,2008,11
1,4055,2008,11
3,4018,2008,11
2,728,2008,11
2,3048,2008,11
3,110,2008,11
1,4725,2008,11
5,1727,2008,11
10,3856,2008,11
20,2237,2008,11
1,3400,2008,11
1,87,2008,11
2,3993,2008,11
2,4162,2008,11
9,1849,2008,11
1,3990,2008,11
2,2192,2008,11
1,269,2008,11
5,3703,2008,11
1,2067,2008,11
4,3701,2008,11
1,5190,2008,11
71,2543,2008,11
1,4356,2008,11
1,3576,2008,11
1,708,2008,11
2,4518,2008,12
1,3941,2008,12
1,3485,2008,12
1,3232,2008,12
1,2614,2008,12
1,1490,2008,12
2,4959,2008,12
1,580,2008,12
1,1127,2008,12
23,3936,2008,12
1,4287,2008,12
2,744,2008,12
8,2781,2008,12
2,691,2008,12
2,1886,2008,12
1,3397,2008,12
1,3828,2008,12
1,1031,2008,12
1,1610,2008,12
3,2818,2008,12
4,2634,2008,12
3,1105,2008,12
1,1142,2008,12
1,3647,2008,12
1,5241,2008,12
1,1636,2008,12
1,700,2008,12
1,1846,2008,12
1,2345,2008,12
1,1757,2008,12
1,1249,2008,12
8,3147,2008,12
5,3114,2008,12
1,2410,2008,12
8,733,2008,12
1,75,2008,12
58,5167,2008,12
2,2949,2008,12
2,2716,2008,12
1,668,2008,12
3,3675,2008,12
2,2429,2008,12
1,3258,2008,12
8,3297,2008,12
2,1656,2008,12
1,5255,2008,12
1,844,2008,12
1,297,2008,12
1,1040,2008,12
1,2331,2008,12
1,5037,2008,12
1,4092,2008,12
5,697,2008,12
1,974,2008,12
5,2424,2008,12
4,4006,2008,12
4,1749,2008,12
22,302,2008,12
9,2917,2008,12
1,2291,2008,12
1,4728,2008,12
3,2623,2008,12
1,5206,2008,12
7,751,2008,12
3,1768,2008,12
1,2044,2008,12
1,674,2008,12
21,56,2008,12
63,3153,2008,12
1,1411,2008,12
1,121,2008,12
2,2736,2008,12
4,2725,2008,12
16,566,2008,12
3,28,2008,12
4,575,2008,12
8,3704,2008,12
2,343,2008,12
3,577,2008,12
2,2957,2008,12
3,24,2008,12
2,3737,2008,12
2,849,2008,12
18,1712,2008,12
3,1137,2008,12
4,3649,2008,12
3,1446,2008,12
1,3107,2008,12
2,2072,2008,12
2,2271,2008,12
7,3295,2008,12
5,2470,2008,12
1,139,2008,12
1,4419,2008,12
1,465,2008,12
11,3708,2008,12
9,548,2008,12
1,3591,2008,12
1,2337,2008,12
2,4879,2008,12
1,4056,2008,12
1,1748,2008,12
1,1657,2008,12
1,1730,2008,12
1,2712,2008,12
1,1546,2008,12
1,2239,2008,12
6,437,2008,12
1,4145,2008,12
2,747,2008,12
1,4074,2008,12
2,2823,2008,12
1,1016,2008,12
1,534,2008,12
1,4113,2008,12
12,386,2008,12
1,1152,2008,12
6,2068,2008,12
2,3736,2008,12
1,646,2008,12
6,2406,2008,12
1,724,2008,12
1,1543,2008,12
1,1669,2008,12
1,3895,2008,12
1,71,2008,12
1,1979,2008,12
4,270,2008,12
1,3342,2008,12
3,3597,2008,12
1,4820,2008,12
1,557,2008,12
1,1847,2008,12
3,440,2008,12
1,368,2008,12
2,2434,2008,12
1,5069,2008,12
1,4516,2008,12
5,738,2008,12
5,3042,2008,12
1,3699,2008,12
13,1710,2008,12
6,1555,2008,12
1,3869,2008,12
1,1118,2008,12
3,1771,2008,12
3,3648,2008,12
6,2397,2008,12
1,4697,2008,12
1,4111,2008,12
3,289,2008,12
9,2924,2008,12
7,1113,2008,12
1,4729,2008,12
1,3670,2008,12
1,2018,2008,12
1,4059,2008,12
3,3588,2008,12
1,3616,2008,12
1,4353,2008,12
3,3705,2008,12
1,2931,2008,12
1,4706,2008,12
1,3992,2008,12
5,1762,2008,12
1,797,2008,12
2,3211,2008,12
1,1150,2008,12
9,5214,2008,12
2,2786,2008,12
8,89,2008,12
32,5166,2008,12
1,1132,2008,12
2,3278,2008,12
1,3110,2008,12
1,571,2008,12
3,572,2008,12
1,1041,2008,12
1,2027,2008,12
2,2730,2008,12
1,4093,2008,12
1,1750,2008,12
38,734,2008,12
2,483,2008,12
24,3148,2008,12
1,1839,2008,12
8,2346,2008,12
3,1114,2008,12
3,845,2008,12
1,1331,2008,12
18,3057,2008,12
2,3259,2008,12
1,1618,2008,12
1,3366,2008,12
1,284,2008,12
9,4032,2008,12
1,2284,2008,12
1,1864,2008,12
3,2462,2008,12
1,840,2008,12
1,2950,2008,12
10,2073,2008,12
5,303,2008,12
1,1560,2008,12
1,4023,2008,12
1,2439,2008,12
2,3298,2008,12
1,1250,2008,12
1,567,2008,12
2,2893,2008,12
1,4035,2008,12
7,2633,2008,12
3,2522,2008,12
4,2341,2008,12
2,4354,2008,12
4,4192,2008,12
2,1415,2008,12
3,2550,2008,12
1,1447,2008,12
8,3574,2008,12
2,5215,2008,12
2,2254,2008,12
17,2889,2008,12
1,2249,2008,12
3,3666,2008,12
40,2921,2008,12
1,2453,2008,12
1,4519,2008,12
3,1102,2008,12
2,1003,2008,12
1,3885,2008,12
3,2342,2008,12
2,2615,2008,12
32,3833,2008,12
7,3834,2008,12
1,4067,2008,12
5,272,2008,12
79,488,2008,12
4,90,2008,12
3,2355,2008,12
1,794,2008,12
3,2620,2008,12
1,3108,2008,12
61,2253,2008,12
6,1827,2008,12
1,298,2008,12
1,5066,2008,12
7,2425,2008,12
6,2619,2008,12
29,6,2008,12
2,1030,2008,12
1,516,2008,12
1,1141,2008,12
10,3643,2008,12
20,3644,2008,12
1,4196,2008,12
4,2616,2008,12
1,4733,2008,12
1,3870,2008,12
4,3046,2008,12
1,2499,2008,12
1,2407,2008,12
11,739,2008,12
132,489,2008,12
1,340,2008,12
1,1119,2008,12
14,1711,2008,12
10,2417,2008,12
4,1753,2008,12
1,4714,2008,12
2,2954,2008,12
1,2202,2008,12
6,290,2008,12
3,2457,2008,12
1,4576,2008,12
6,1865,2008,12
1,341,2008,12
3,312,2008,12
1,21,2008,12
9,3991,2008,12
1,4080,2008,12
13,553,2008,12
47,4775,2008,12
2,3212,2008,12
2,798,2008,12
1,619,2008,12
3,1725,2008,12
1,927,2008,12
1,1336,2008,12
5,568,2008,12
1,4139,2008,12
1,2062,2008,12
1,618,2008,12
1,4515,2008,12
2,4110,2008,12
3,1017,2008,12
1,1930,2008,12
2,2467,2008,12
2,280,2008,12
8,2352,2008,12
1,530,2008,12
1,1563,2008,12
13,151,2008,12
1,1962,2008,12
8,382,2008,12
1,2458,2008,12
1,4028,2008,12
1,3226,2008,12
2,647,2008,12
2,4089,2008,12
1,1128,2008,12
249,150,2008,12
1,304,2008,12
1,4057,2008,12
1,1481,2008,12
2,3061,2008,12
2,4031,2008,12
2,841,2008,12
3,3144,2008,12
9,2188,2008,12
1,2360,2008,12
4,4149,2008,12
16,1851,2008,12
6,669,2008,12
1,2477,2008,12
3,1027,2008,12
10,1138,2008,12
5,2389,2008,12
3,3254,2008,12
2,1763,2008,12
18,2051,2008,12
4,1822,2008,12
1,271,2008,12
2,4020,2008,12
1,4358,2008,12
7,3255,2008,12
4,1124,2008,12
3,1117,2008,12
4,2252,2008,12
1,2885,2008,12
2,2338,2008,12
1,4049,2008,12
4,4210,2008,12
4,2022,2008,12
3,3273,2008,12
2,122,2008,12
3,4246,2008,12
4,5123,2008,12
2,837,2008,12
7,3280,2008,12
1,720,2008,12
7,438,2008,12
2,2922,2008,12
10,1759,2008,12
58,3052,2008,12
7,1541,2008,12
3,2723,2008,12
5,4882,2008,12
6,1126,2008,12
1,1251,2008,12
2,4141,2008,12
1,2218,2008,12
1,1629,2008,12
3,3665,2008,12
1,3012,2008,12
2,2635,2008,12
1,4416,2008,12
5,2463,2008,12
2,83,2008,12
2,709,2008,12
1,638,2008,12
1,672,2008,12
1,2743,2008,12
1,4036,2008,12
1,1143,2008,12
14,4777,2008,12
1,3299,2008,12
4,2426,2008,12
1,5257,2008,12
1,102,2008,12
2,2811,2008,12
12,491,2008,12
1,301,2008,12
4,1708,2008,12
1,1714,2008,12
6,2340,2008,12
2,839,2008,12
1,3946,2008,12
1,2048,2008,12
1,4068,2008,12
118,3835,2008,12
1,1852,2008,12
1,795,2008,12
1,3957,2008,12
1,605,2008,12
1,97,2008,12
2,2894,2008,12
2,3279,2008,12
2,735,2008,12
32,2697,2008,12
1,1115,2008,12
2,45,2008,12
1,3274,2008,12
6,1863,2008,12
18,2256,2008,12
3,2621,2008,12
2,4003,2008,12
1,517,2008,12
39,3645,2008,12
4,848,2008,12
1,3234,2008,12
1,4030,2008,12
1,18,2008,12
4,2817,2008,12
4,2618,2008,12
524,40,2008,12
1,846,2008,12
2,3038,2008,12
1,3511,2008,12
2,1751,2008,12
3,727,2008,12
2,2720,2008,12
1,4104,2008,12
2,4414,2008,12
4,482,2008,12
2,2542,2008,12
10,4193,2008,12
25,3856,2008,12
2,702,2008,12
10,2890,2008,12
1,731,2008,12
1,1857,2008,12
7,728,2008,12
19,149,2008,12
1,4055,2008,12
2,436,2008,12
1,4043,2008,12
1,4359,2008,12
3,1015,2008,12
1,4029,2008,12
2,3575,2008,12
14,2696,2008,12
3,2396,2008,12
20,2237,2008,12
1,1928,2008,12
1,2353,2008,12
2,3137,2008,12
1,4520,2008,12
1,3803,2008,12
1,4356,2008,12
2,2229,2008,12
1,3619,2008,12
4,3037,2008,12
2,1752,2008,12
5,3701,2008,12
1,70,2008,12
12,4211,2008,12
1,1653,2008,12
1,2192,2008,12
1,3326,2008,12
1,3502,2008,12
23,2052,2008,12
4,1765,2008,12
1,1448,2008,12
1,5203,2008,12
2,1139,2008,12
10,2788,2008,12
3,2390,2008,12
4,58,2008,12
5,3698,2008,12
1,629,2008,12
3,2418,2008,12
26,5124,2008,12
1,5079,2008,12
1,1755,2008,12
1,4245,2008,12
1,2958,2008,12
4,2450,2008,12
1,1556,2008,12
1,4880,2008,12
20,2952,2008,12
3,313,2008,12
3,462,2008,12
2,4517,2008,12
2,2131,2008,12
3,2484,2008,12
4,847,2008,12
4,1726,2008,12
1,2160,2008,12
2,3026,2008,12
2,1147,2008,12
1,3261,2008,12
1,5207,2008,12
1,1844,2008,12
112,4929,2008,12
4,1134,2008,12
1,273,2008,12
2,3578,2008,12
1,1032,2008,12
4,2381,2008,12
5,4140,2008,12
1,582,2008,12
7,3932,2008,12
3,2886,2008,12
1,4058,2008,12
1,1866,2008,12
1,3587,2008,12
2,4219,2008,12
14,2895,2008,12
1,2387,2008,12
3,3993,2008,12
15,1761,2008,12
1,560,2008,12
3,2631,2008,12
1,1607,2008,12
12,1849,2008,12
1,2432,2008,12
3,3256,2008,12
1,4818,2008,12
1,1539,2008,12
1,463,2008,12
3,4018,2008,12
5,1713,2008,12
3,4727,2008,12
1,2622,2008,12
3,4295,2008,12
1,1681,2008,12
1,2715,2008,12
2,5036,2008,12
24,2021,2008,12
5,1859,2008,12
3,300,2008,12
2,2427,2008,12
1,1333,2008,12
2,2714,2008,12
2,4007,2008,12
3,1116,2008,12
1,2228,2008,12
1,1655,2008,12
5,3601,2008,12
5,1135,2008,12
1,3293,2008,12
1,5200,2008,12
85,3836,2008,12
2,667,2008,12
2,3368,2008,12
1,2627,2008,12
3,3294,2008,12
1,3257,2008,12
3,4417,2008,12
1,4415,2008,12
1,4735,2008,12
3,579,2008,12
7,569,2008,12
16,2247,2008,12
3,1709,2008,12
11,2339,2008,12
3,4017,2008,12
1,3703,2008,12
3,1553,2008,12
17,3702,2008,12
2,1942,2008,12
1,2061,2008,12
5,689,2008,12
1,1823,2008,12
5,2617,2008,12
3,1542,2008,12
2,3990,2008,12
1,4704,2008,12
1,3015,2008,12
10,639,2008,12
5,750,2008,12
1,3138,2008,12
8,4776,2008,12
1,4582,2008,12
1,1978,2008,12
7,291,2008,12
1,3013,2008,12
27,2270,2008,12
5,4105,2008,12
1,1125,2008,12
2,2049,2008,12
12,490,2008,12
1,3045,2008,12
6,578,2008,12
1,3271,2008,12
1,288,2008,12
3,2336,2008,12
8,2923,2008,12
2,1491,2008,12
1,3146,2008,12
2,2737,2008,12
1,509,2008,12
378,2269,2008,12
4,310,2008,12
2,4158,2008,12
3,2233,2008,12
7,1136,2008,12
2,92,2008,12
1,2468,2008,12
2,3650,2008,12
1,2159,2008,12
1,1245,2008,12
2,2956,2008,12
6,2803,2008,12
1,2636,2008,12
1,4378,2008,12
1,708,2008,12
1,3859,2008,12
1,1046,2008,12
301,3152,2008,12
1,699,2008,12
1,2459,2008,12
1,1700,2008,12
2,4079,2008,12
9,4148,2008,12
4,3055,2008,12
11,2547,2008,12
3,2548,2008,12
2,3400,2008,12
1,1482,2008,12
3,48,2008,12
1,2746,2008,12
1,1190,2008,12
3,1727,2008,12
1,3349,2008,12
4,736,2008,12
1,5189,2008,12
10,4212,2008,12
9,3041,2008,12
1,2046,2008,12
1,843,2008,12
1,5218,2008,12
6,385,2008,12
1,527,2008,12
2,314,2008,12
4,4151,2008,12
7,439,2008,12
1,556,2008,12
4,2632,2008,12
4,1140,2008,12
1,1848,2008,12
1,1766,2008,12
503,2543,2008,12
8,4220,2008,12
2,435,2008,12
1,2562,2008,12
2,3984,2008,12
1,972,2008,12
5,3586,2008,12
11,1825,2008,12
4,4130,2008,12
1,3336,2008,12
1,1033,2008,12
3,2283,2008,12
1,2909,2008,12
2,1826,2008,12
2,2423,2008,12
1,464,2008,12
1,2711,2008,12
1,4073,2008,12
1,634,2008,12
4,3020,2008,12
4,1338,2008,12
3,4115,2008,12
1,3106,2008,12
1,2325,2008,12
1,4708,2008,12
2,745,2008,12
1,5276,2008,12
2,3149,2008,12
1,2304,2008,12
1,3674,2008,12
1,1630,2008,12
1,533,2008,12
1,2376,2008,12
1,3614,2008,12
5,1760,2008,12
2,1112,2008,12
33,3707,2008,12
1,1001,2008,12
1,2613,2008,12
1,4420,2008,12
1,4112,2008,12
7,1079,2008,12
5,299,2008,12
3,713,2008,12
3,5287,2008,12
2,1029,2008,12
1,3210,2008,12
1,2132,2008,12
30,2016,2008,12
2,2067,2008,12
1,2405,2008,12
1,732,2008,12
5,1756,2008,12
3,2382,2008,12
6,3296,2008,12
7,2751,2008,12
7,2951,2008,12
1,4033,2008,12
1,1728,2008,12
1,5168,2008,12
3,3260,2008,12
1,4144,2008,12
3,4884,2009,1
4,1726,2009,1
1,4111,2009,1
3,1638,2009,1
229,2890,2009,1
5,1931,2009,1
1,305,2009,1
3,1615,2009,1
1,3515,2009,1
3,1755,2009,1
1,3037,2009,1
3,532,2009,1
1,1018,2009,1
3,702,2009,1
1,4090,2009,1
6,731,2009,1
1,4710,2009,1
3,26,2009,1
2,1866,2009,1
2,3881,2009,1
1,4061,2009,1
7,3993,2009,1
8,3575,2009,1
5,4817,2009,1
6,1490,2009,1
2,531,2009,1
1,285,2009,1
202,3155,2009,1
2,5314,2009,1
3,1028,2009,1
5,4818,2009,1
1,2630,2009,1
7,1607,2009,1
2,3594,2009,1
1,3904,2009,1
6,5373,2009,1
1,1000,2009,1
1,105,2009,1
12,800,2009,1
8,1398,2009,1
6,1031,2009,1
246,2696,2009,1
5,5214,2009,1
6,3705,2009,1
4,4359,2009,1
1,1337,2009,1
1,4043,2009,1
20,5124,2009,1
4,1569,2009,1
1,744,2009,1
3,5207,2009,1
1,5206,2009,1
1,1032,2009,1
2,3534,2009,1
14,4725,2009,1
4,1768,2009,1
10,2450,2009,1
1,3335,2009,1
2,295,2009,1
1,3701,2009,1
1,1824,2009,1
1,4219,2009,1
2,3932,2009,1
2,3108,2009,1
1,3026,2009,1
1,4190,2009,1
6,4577,2009,1
7,1139,2009,1
41,4929,2009,1
1,273,2009,1
2,2390,2009,1
7,1765,2009,1
10,2886,2009,1
3,560,2009,1
7,2788,2009,1
1,753,2009,1
2,3256,2009,1
13,4729,2009,1
1,313,2009,1
13,4520,2009,1
1,2958,2009,1
1,842,2009,1
1,3853,2009,1
1,4719,2009,1
4,4140,2009,1
1,4211,2009,1
1,1250,2009,1
10,2052,2009,1
1,1556,2009,1
1,2621,2009,1
2,4849,2009,1
1,5282,2009,1
162,2894,2009,1
4,1610,2009,1
1,2440,2009,1
1,1439,2009,1
30,1759,2009,1
1,3299,2009,1
7,1561,2009,1
1,1411,2009,1
6,735,2009,1
2,3857,2009,1
4,4377,2009,1
1,2635,2009,1
5,4057,2009,1
2,2868,2009,1
3,2802,2009,1
5,3858,2009,1
2,2099,2009,1
19,4193,2009,1
2,2131,2009,1
4,697,2009,1
7,4734,2009,1
2,2467,2009,1
4,4104,2009,1
3,2736,2009,1
16,3677,2009,1
5,4572,2009,1
6,4881,2009,1
2,3044,2009,1
3,4882,2009,1
10,3280,2009,1
8,2811,2009,1
6,3209,2009,1
10,3649,2009,1
25,1751,2009,1
1,1344,2009,1
3,795,2009,1
1,3957,2009,1
1,2922,2009,1
6,1976,2009,1
27,3936,2009,1
6,3737,2009,1
6,1629,2009,1
4,846,2009,1
1,4135,2009,1
2,1121,2009,1
2,577,2009,1
6,2463,2009,1
1,5317,2009,1
3,4891,2009,1
2,4382,2009,1
3,5211,2009,1
3,4381,2009,1
3,2426,2009,1
2,517,2009,1
1,1773,2009,1
22,3052,2009,1
1,1342,2009,1
2,1253,2009,1
34,3645,2009,1
1,378,2009,1
4,2256,2009,1
3,4006,2009,1
14,3279,2009,1
2,4414,2009,1
5,2542,2009,1
3,4355,2009,1
1307,40,2009,1
1,438,2009,1
30,5167,2009,1
72,3835,2009,1
1,4068,2009,1
3,3511,2009,1
541,151,2009,1
13,1115,2009,1
2,727,2009,1
2,3274,2009,1
1,3747,2009,1
2,5268,2009,1
2,1420,2009,1
5,1712,2009,1
2,1402,2009,1
5,3946,2009,1
3,1819,2009,1
4,713,2009,1
4,5286,2009,1
7,4733,2009,1
14,4815,2009,1
4,1760,2009,1
1,1848,2009,1
3,271,2009,1
2,2458,2009,1
2,4020,2009,1
20,382,2009,1
1,841,2009,1
1,5299,2009,1
6,1865,2009,1
1,1936,2009,1
6,3510,2009,1
3,1128,2009,1
2,2885,2009,1
1,104,2009,1
1,4191,2009,1
1,2708,2009,1
3,2202,2009,1
10,3255,2009,1
4,294,2009,1
5,2457,2009,1
2,1842,2009,1
1,5123,2009,1
29,2917,2009,1
1,3913,2009,1
3,1772,2009,1
2,4210,2009,1
5,3260,2009,1
1,4715,2009,1
3,2957,2009,1
11,1482,2009,1
2,2417,2009,1
7,798,2009,1
6,2787,2009,1
2,837,2009,1
6,736,2009,1
9,2407,2009,1
1,344,2009,1
1,4080,2009,1
22,489,2009,1
7,1825,2009,1
6,572,2009,1
2,341,2009,1
10,1124,2009,1
1,2638,2009,1
7,1754,2009,1
27,4730,2009,1
1,1244,2009,1
3,312,2009,1
44,290,2009,1
11,1491,2009,1
5,1763,2009,1
1,3212,2009,1
13,4576,2009,1
4,2389,2009,1
80,4775,2009,1
4,1138,2009,1
139,2228,2009,1
6,2051,2009,1
7,299,2009,1
1,1336,2009,1
3,3706,2009,1
10,1822,2009,1
1,3036,2009,1
3,4089,2009,1
2,3618,2009,1
